gateId,terminalId,waitTime,waitLength,occurtime,operatingTime,tmp1,tmp2,tmp3
DG3_E,P01,21,72,20260518140800,00:00~24:00, , , 
DG3_W,P01,21,72,20260518140800,00:00~24:00, , , 
DG4_E,P01,17,121,20260518140800,06:30~20:00, , , 
DG4_W,P01,14,95,20260518140800,06:30~20:00, , , 
DG5_E,P01,14,121,20260518140800,05:00~22:00, , , 
DG5_W,P01,14,122,20260518140800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518141300,, , , 
DG1_W,P01,6,0,20260518141300,, , , 
DG2_E,P01,7,13,20260518141300,06:00~19:00, , , 
DG2_W,P01,8,17,20260518141300,06:00~19:00, , , 
DG3_E,P01,21,78,20260518141300,00:00~24:00, , , 
DG3_W,P01,22,86,20260518141300,00:00~24:00, , , 
DG4_E,P01,14,104,20260518141300,06:30~20:00, , , 
DG4_W,P01,12,89,20260518141300,06:30~20:00, , , 
DG5_E,P01,9,73,20260518141300,05:00~22:00, , , 
DG5_W,P01,9,73,20260518141300,05:00~22:00, , , 
DG1_E,P01,6,0,20260518141800,, , , 
DG1_W,P01,6,0,20260518141800,, , , 
DG2_E,P01,6,3,20260518141800,06:00~19:00, , , 
DG2_W,P01,7,5,20260518141800,06:00~19:00, , , 
DG3_E,P01,22,79,20260518141800,00:00~24:00, , , 
DG3_W,P01,22,79,20260518141800,00:00~24:00, , , 
DG4_E,P01,13,98,20260518141800,06:30~20:00, , , 
DG4_W,P01,11,85,20260518141800,06:30~20:00, , , 
DG5_E,P01,7,24,20260518141800,05:00~22:00, , , 
DG5_W,P01,7,25,20260518141800,05:00~22:00, , , 
DG1_E,P01,6,0,20260524114300,, , , 
DG1_W,P01,6,0,20260524114300,, , , 
DG2_E,P01,7,16,20260524114300,06:00~19:00, , , 
DG2_W,P01,9,34,20260524114300,06:00~19:00, , , 
DG3_E,P01,9,17,20260524114300,00:00~24:00, , , 
DG3_W,P01,10,25,20260524114300,00:00~24:00, , , 
DG4_E,P01,10,50,20260524114300,06:30~20:00, , , 
DG4_W,P01,10,46,20260524114300,06:30~20:00, , , 
DG5_E,P01,11,89,20260524114300,05:00~22:00, , , 
DG5_W,P01,17,152,20260524114300,05:00~22:00, , , 
DG1_E,P01,6,0,20260524114800,, , , 
DG1_W,P01,6,0,20260524114800,, , , 
DG2_E,P01,8,23,20260524114800,06:00~19:00, , , 
DG2_W,P01,9,29,20260524114800,06:00~19:00, , , 
DG3_E,P01,7,6,20260524114800,00:00~24:00, , , 
DG3_W,P01,7,7,20260524114800,00:00~24:00, , , 
DG4_E,P01,11,57,20260524114800,06:30~20:00, , , 
